"company_name","bloom_field","bloom_postings","total","cum_postings","cum_share","n_companies","company_index","company_share"
"dell","Machine Learning AI",80,34632,14162,0.431321191447889,2578,72,0.0279286268425136
"eidgenossische technische hochschule zurich, ethz","Machine Learning AI",80,34632,14242,0.433757690199184,2578,73,0.0283165244375485
"iet","Cloud computing",80,68768,30531,0.482741718712942,4399,142,0.0322800636508297
"palo alto networks","Cloud computing",80,68768,30611,0.484006640841173,4399,143,0.032507388042737
"penstroke recruitment","Machine Learning AI",80,34632,14322,0.436194188950478,2578,74,0.0287044220325834
"soft robotics lab, institute of robotics and intelligent systems","Machine Learning AI",80,34632,14402,0.438630687701773,2578,75,0.0290923196276183
"wabion ag","Cloud computing",80,68768,30691,0.485271562969405,4399,144,0.0327347124346442
"hilti","Smart devices",79,24824,7484,0.327055019009745,2641,40,0.0151457781143506
"seervision","Machine Learning AI",79,34632,14481,0.441036730218676,2578,76,0.0294802172226532
"vangard ag","Smart devices",79,24824,7563,0.33050736354499,2641,41,0.0155244225672094
"mss holding","Smart devices",78,24824,7641,0.333916007516497,2641,42,0.0159030670200682
"next link","Machine Learning AI",78,34632,14559,0.443412316501188,2578,77,0.0298681148176881
"privera","Smart devices",78,24824,7719,0.337324651488004,2641,43,0.0162817114729269
"yokoy group ag","Cloud computing",78,68768,30769,0.48650486204443,4399,145,0.0329620368265515
"migros-genossenschafts-bund","Cloud computing",77,68768,30846,0.487722349592853,4399,146,0.0331893612184587
"predictive layer","Machine Learning AI",77,34632,14636,0.445757446549309,2578,78,0.030256012412723
"sintratec","3d printing",77,2181,482,0.228869895536562,335,4,0.0119402985074627
"sonarsource sa","Cloud computing",77,68768,30923,0.488939837141276,4399,147,0.033416685610366
"eth zurich","Virtual Reality",76,4164,1451,0.358537188040524,453,7,0.0154525386313466
"freestar engineers","Smart devices",76,24824,7795,0.340645894332037,2641,44,0.0166603559257857
"ictjobs (stellenmarkt)","Machine Learning AI",76,34632,14712,0.448072120363038,2578,79,0.030643910007758
"lenovo","Smart devices",76,24824,7871,0.34396713717607,2641,45,0.0170390003786445
"siemens healthineers","Cloud computing",76,68768,30999,0.490141513163096,4399,148,0.0336440100022732
"contovista","Cloud computing",75,68768,31074,0.491327377658313,4399,149,0.0338713343941805
"epfl","Virtual Reality",75,4164,1526,0.377069434148752,453,8,0.0176600441501104
"it-cloud-jobs.ch","Cloud computing",75,68768,31149,0.49251324215353,4399,150,0.0340986587860877
"ntt data deutschland","Cloud computing",75,68768,31224,0.493699106648747,4399,151,0.034325983177995
"bsi business systems integration ag","Machine Learning AI",74,34632,14786,0.450325881707986,2578,80,0.0310318076027929
"jls digital ag","Smart devices",74,24824,7945,0.347200978892628,2641,46,0.0174176448315032
"livetiles","Cloud computing",74,68768,31298,0.494869159617361,4399,152,0.0345533075699022
"revendo ag","Smart devices",74,24824,8019,0.350434820609186,2641,47,0.017796289284362
"additiv ag","Cloud computing",73,68768,31371,0.496023401059372,4399,153,0.0347806319618095
"ictjobs (stellenmarkt)","Smart devices",73,24824,8092,0.353624961762007,2641,48,0.0181749337372208
"pharmaplan ag","Smart devices",73,24824,8165,0.356815102914828,2641,49,0.0185535781900795
"winsun ag","Solar Power",73,7667,2089,0.332484481935381,744,14,0.0188172043010753
"altran","Machine Learning AI",72,34632,14858,0.452518730584151,2578,81,0.0314197051978278
